Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Elias Pettersson (14309778),Elias Pettersson,14309778,C/UTIL,7200,MIN@VAN 02/19/2020 10:30PM ET,VAN,11.81
G,Mike Smith (14310620),Mike Smith,14310620,G,7100,BOS@EDM 02/19/2020 08:30PM ET,EDM,12.31
G,Mikko Koskinen (14310621),Mikko Koskinen,14310621,G,7100,BOS@EDM 02/19/2020 08:30PM ET,EDM,13.45
G,Alexandar Georgiev (14310624),Alexandar Georgiev,14310624,G,7000,NYR@CHI 02/19/2020 08:00PM ET,NYR,14.12
C,Tyler Seguin (14309780),Tyler Seguin,14309780,C/UTIL,7000,ARI@DAL 02/19/2020 08:30PM ET,DAL,11.84
G,Antti Raanta (14310622),Antti Raanta,14310622,G,7000,ARI@DAL 02/19/2020 08:30PM ET,ARI,14.56
G,Adin Hill (14310623),Adin Hill,14310623,G,7000,ARI@DAL 02/19/2020 08:30PM ET,ARI,11.33
RW,Mikko Rantanen (14309976),Mikko Rantanen,14309976,W/UTIL,7000,NYI@COL 02/19/2020 10:00PM ET,COL,11.64
G,Darcy Kuemper (14310625),Darcy Kuemper,14310625,G,6800,ARI@DAL 02/19/2020 08:30PM ET,ARI,16.94
C,Aleksander Barkov (14309782),Aleksander Barkov,14309782,C/UTIL,6800,FLA@ANH 02/19/2020 10:00PM ET,FLA,11.44
LW,Jonathan Huberdeau (14309978),Jonathan Huberdeau,14309978,W/UTIL,6800,FLA@ANH 02/19/2020 10:00PM ET,FLA,11.52
LW,Taylor Hall (14309980),Taylor Hall,14309980,W/UTIL,6600,ARI@DAL 02/19/2020 08:30PM ET,ARI,11.60
C,Bo Horvat (14309784),Bo Horvat,14309784,C/UTIL,6600,MIN@VAN 02/19/2020 10:30PM ET,VAN,11.11
G,Kevin Lankinen (14310628),Kevin Lankinen,14310628,G,6500,NYR@CHI 02/19/2020 08:00PM ET,CHI,0
G,Collin Delia (14310629),Collin Delia,14310629,G,6500,NYR@CHI 02/19/2020 08:00PM ET,CHI,0
G,Ivan Prosvetov (14310634),Ivan Prosvetov,14310634,G,6500,ARI@DAL 02/19/2020 08:30PM ET,ARI,0
G,Landon Bow (14310639),Landon Bow,14310639,G,6500,ARI@DAL 02/19/2020 08:30PM ET,DAL,0
LW,Ryan Nugent-Hopkins (14309982),Ryan Nugent-Hopkins,14309982,W/UTIL,6500,BOS@EDM 02/19/2020 08:30PM ET,EDM,10.42
G,Dan Vladar (14310630),Dan Vladar,14310630,G,6500,BOS@EDM 02/19/2020 08:30PM ET,BOS,0
G,Maxime Lagace (14310631),Maxime Lagace,14310631,G,6500,BOS@EDM 02/19/2020 08:30PM ET,BOS,0
G,Stuart Skinner (14310638),Stuart Skinner,14310638,G,6500,BOS@EDM 02/19/2020 08:30PM ET,EDM,0
G,Adam Werner (14310626),Adam Werner,14310626,G,6500,NYI@COL 02/19/2020 10:00PM ET,COL,14.3
G,Antoine Bibeau (14310627),Antoine Bibeau,14310627,G,6500,NYI@COL 02/19/2020 10:00PM ET,COL,7.2
G,Christopher Gibson (14310637),Christopher Gibson,14310637,G,6500,NYI@COL 02/19/2020 10:00PM ET,NYI,0
G,Kevin Boyle (14310635),Kevin Boyle,14310635,G,6500,FLA@ANH 02/19/2020 10:00PM ET,ANH,0
G,Anthony Stolarz (14310636),Anthony Stolarz,14310636,G,6500,FLA@ANH 02/19/2020 10:00PM ET,ANH,0
G,Michael DiPietro (14310632),Michael DiPietro,14310632,G,6500,MIN@VAN 02/19/2020 10:30PM ET,VAN,0.7
G,Zane McIntyre (14310633),Zane McIntyre,14310633,G,6500,MIN@VAN 02/19/2020 10:30PM ET,VAN,0
